Road Type,Speed Limit,Lanes,Coordinates
residential,Unknown,Unknown,"[558625108, 558625109, 4567956957, 5448591881, 558572430, 5448591897, 5448591885, 53090367, 5448591894, 1556168456, 5448592026, 5448592029, 4563222320, 53090250, 4563222321, 4588771070, 5448592059, 4614719330, 5448592056, 667756613, 53098248, 53098249, 5448592136, 53003570, 2166264522, 5316400329, 53098255, 436650974, 5316400330, 53050539, 11836798797, 53054739, 53059856, 4566719323, 53035729, 4566719324, 10159162486, 11840678465]"
tertiary,Unknown,2,"[2389216066, 1747133994, 4169902527]"
unclassified,Unknown,Unknown,"[53098287, 11336828826, 9572219656, 53093236]"
residential,Unknown,Unknown,"[53073230, 53098782]"
residential,Unknown,Unknown,"[1239362347, 53100040]"
residential,Unknown,Unknown,"[53081142, 53100241, 1239362291, 1239362294, 1239362336, 1239362301, 1239362281, 1239362358, 53100243, 1239362268, 1239362373, 1239362296, 1239362325]"
residential,Unknown,Unknown,"[53100556, 53100558]"
residential,Unknown,Unknown,"[1056930192, 2392032934, 53078426, 1056930107, 1056929980, 53043136]"
residential,Unknown,Unknown,"[53093636, 53107052]"
residential,Unknown,Unknown,"[53081147, 1239362360, 1059024735, 53084230]"
residential,Unknown,2,"[53041198, 8778129983, 53107884, 53107886, 53107888, 53107890, 1056930202, 53107892, 8778129971, 9610446208, 53107894, 1056952586]"
residential,Unknown,2,"[53108653, 4603991325, 4603991322, 53108654, 295992671, 295992612, 295992633, 53069761, 53108657, 53077814, 53033974, 53029822, 712650545, 53108662, 712650552, 3695636316, 7513519789, 5459782277, 12088394700, 53098242, 12088394699, 12086641000, 53055528]"
residential,Unknown,Unknown,"[3103733750, 5459782296, 53110381, 53098201]"
residential,Unknown,Unknown,"[1234594648, 53098782, 4941952281]"
residential,Unknown,Unknown,"[53112098, 4603992437, 712654646, 712654658, 53112101, 53112103, 4603992364, 53085199]"
residential,Unknown,2,"[53112118, 4603992327, 53112119, 712656868, 712656874]"
residential,Unknown,Unknown,"[53112132, 442374150]"
residential,Unknown,Unknown,"[53016837, 5448982800, 5448982797, 5448982792, 4603991085, 53112098, 5448982789, 4603991083, 5448982796, 5448982793, 4603991080, 53069770, 4941950765, 4323495495, 53113062]"
residential,Unknown,Unknown,"[4625136753, 4625136761, 53078105, 4625136762, 53114487, 53114489, 53114491, 4930036655, 10050236146, 53082689, 10050236144, 2020096868, 10779201129, 53027416, 10779201094, 4930036649, 4930036648, 10050236151, 53077106]"
tertiary,Unknown,Unknown,"[53086465, 9610446202, 2169800161, 1276183878, 311938136, 311938137, 2169800165, 6456209512, 311938138, 311938139, 311938140, 311938141]"
tertiary,Unknown,2,"[53115993, 53115995, 53115996, 53115997, 53115998, 53116000, 53116002, 53116004, 9610446171, 53086465]"
residential,Unknown,Unknown,"[53117738, 12088394710, 12088394711, 12123582416, 12123582418, 53092438, 12123582417, 12123582415, 53117741]"
tertiary,Unknown,2,"[5695286209, 5695286210, 5695286207, 53118311]"
residential,Unknown,Unknown,"[53118832, 53118833]"
tertiary,Unknown,2,"[1234559799, 11336818154, 5695286212, 4941468514, 291487489]"
residential,Unknown,Unknown,"[344583642, 4664813748, 53069736, 10779201333, 7496706659, 53077742]"
service,Unknown,Unknown,"[1315711737, 1315711762, 1315711745, 1313977055]"
tertiary,Unknown,Unknown,"[3012086873, 53124521, 4941951875, 53124524]"
motorway,55 mph,2,"[53060716, 1747133991, 311886142, 9269069297, 1747134002, 231175853, 231081403, 1747134007, 231081404, 1747133993, 1172103382, 30372583]"
residential,15 mph,Unknown,"[53086501, 53125507, 3336365777, 1059024648, 53125508, 53125511, 1059024826, 1237941519, 53125512, 1059025016, 53125513, 1059024598, 53125516, 3336365703, 1237941478, 1237941395, 1059024767, 1059024626, 3336365750, 1059025078, 1237941393, 53125517, 53125519, 53086488]"
